,discussionDepth,discussionDisagreement,discussionEnjoy,discussionTension,selfAnxious,selfInsight,selfLearned,selfSpeakUp,selfVoice,defensive,liking,partnerListening,partnerPerspectiveTaking,partnerTalking,polite,selfPerspectiveTaking,agreement_binary,conflict_1,conflict_2,conflict_3,conflict_4,decision_leadership_1,decision_leadership_2,goal_similarity,viability_1,viability_2,Cluster
76,4.0,4.0,3.0,2,4.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,6.0,5.0,5.0,3.0,5.0,3.0,5.0,6.0,3.0,"Unconstructive
Disagreement"
77,5.0,2.0,3.0,4,2.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0,6.0,6.0,2.0,2.0,6.0,3.0,6.0,6.0,6.0,"Unconstructive
Disagreement"
78,3.0,3.0,3.0,5,2.0,2.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,1.0,5.0,4.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,"Unconstructive
Disagreement"
79,1.0,3.0,3.0,4,1.0,1.0,2.0,1.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,5.0,1.0,7.0,6.0,5.0,6.0,4.0,"Unconstructive
Disagreement"
80,4.0,4.0,4.0,4,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,6.0,3.0,2.0,2.0,3.0,5.0,2.0,6.0,7.0,"Unconstructive
Disagreement"
81,5.0,5.0,5.0,2,4.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,3.0,1.0,7.0,7.0,1.0,6.0,6.0,4.0,4.0,7.0,7.0,"Unconstructive
Disagreement"
82,3.0,4.0,3.0,2,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,0.0,6.0,6.0,4.0,4.0,5.0,7.0,5.0,2.0,4.0,"Constructive
Disagreement"
83,3.0,5.0,3.0,2,4.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,4.0,0.0,7.0,7.0,6.0,5.0,7.0,7.0,1.0,4.0,5.0,"Constructive
Disagreement"
84,4.0,2.0,4.0,5,1.0,4.0,2.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,7.0,3.0,7.0,7.0,"Open
Collaboration"
85,6.0,3.0,4.0,4,3.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0,7.0,7.0,1.0,2.0,4.0,3.0,6.0,7.0,7.0,"Open
Collaboration"
86,5.0,4.0,5.0,5,1.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,6.0,4.0,1.0,1.0,5.0,4.0,7.0,7.0,7.0,"Open
Collaboration"
87,4.0,4.0,4.0,4,3.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,1.0,7.0,7.0,5.0,1.0,6.0,3.0,3.0,6.0,6.0,"Unconstructive
Disagreement"
88,5.0,3.0,5.0,4,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,6.0,7.0,7.0,"Open
Collaboration"
89,5.0,4.0,5.0,4,1.0,3.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0,6.0,6.0,2.0,3.0,3.0,4.0,6.0,7.0,7.0,"Open
Collaboration"
90,5.0,4.0,4.0,3,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,7.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,"Unconstructive
Disagreement"
91,6.0,5.0,5.0,5,1.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,2.0,7.0,6.0,"Open
Collaboration"
92,5.0,4.0,5.0,4,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,"Unconstructive
Disagreement"
93,4.0,3.0,4.0,3,3.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,5.0,6.0,5.0,"Open
Collaboration"
