Pair_Speaker_turn,PairID,PersonID,Turn Start,Turn End,Rms,Pitch,Pulse,ZCR,Spectral_Centroid,Spectral_Bandwidth
20240522_1325_S3WBLMW3QQXC_A_A_14,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,191.02501,243.52565,0.010908115916903698,358.2882952792816,0.8930567519164972,0.04664177179627184,4529.098628495333,6248.549253306346
20240522_1325_S3WBLMW3QQXC_B_B_15,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,243.5358,247.19781,0.06349899195072886,575.9424567417792,1.4203606739650145,0.14090401785714285,5231.792554957036,4981.131539305219
20240522_1325_S3WBLMW3QQXC_Both_A_15,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,243.66415,246.39897,0.031111083268359374,332.1252642273903,1.015027668046875,0.029088973999023438,3134.5637848173283,5489.246388838358
20240522_1325_S3WBLMW3QQXC_Both_B_15,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,243.93385,246.24251,0.06154138095069125,582.6600762826425,1.4311837983410138,0.15229874711981567,5426.146820654854,4935.400036730893
20240522_1325_S3WBLMW3QQXC_A_A_16,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,247.41545,247.81453,0.009356861902702702,406.4602842588682,0.9133442462162161,0.02463840793918919,3354.746595400888,5857.607302039958
20240522_1325_S3WBLMW3QQXC_B_B_17,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,260.43954,272.4231,0.02403128276261799,534.516896888188,0.9807469779430099,0.3106307915460819,8753.18096110236,5260.161765519887
20240522_1325_S3WBLMW3QQXC_Both_A_17,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,272.19778,272.27753,0.0100164424375,283.1745128631592,1.19041682625,0.051025390625,5564.860349537233,7438.503896203999
20240522_1325_S3WBLMW3QQXC_A_A_18,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,272.27753,347.37448,0.017472330392045456,356.8642450397665,1.0277689316230114,0.05762190385298296,4897.744268540257,6410.18300266847
20240522_1325_S3WBLMW3QQXC_B_B_19,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,348.85175,350.7032,0.019334856912011495,476.1908361500707,0.953019478678161,0.30790622755028735,8322.11017063606,5110.615811864365
20240522_1325_S3WBLMW3QQXC_A_A_20,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,364.0,372.41998,0.01374371210341772,359.9434710731989,1.019420857265823,0.033995500395569624,3447.150469345809,5797.318056136086
20240522_1325_S3WBLMW3QQXC_B_B_20,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,365.09833,365.49646,0.029582090928947376,339.0570148668791,1.1898891600000001,0.130859375,6875.525519432767,6260.19705974991
