Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay0KGC4N_B_39,20240521_1823_WBLMay0KGC4N,B,39,B_39,898.69352,894.35876,930.7845
20240521_1823_WBLMay0KGC4N_A_40,20240521_1823_WBLMay0KGC4N,A,40,A_40,922.64363,935.35004,950.9285
20240521_1823_WBLMay0KGC4N_B_41,20240521_1823_WBLMay0KGC4N,B,41,B_41,973.65672,962.9792,1011.9634
20240521_1823_WBLMay0KGC4N_A_42,20240521_1823_WBLMay0KGC4N,A,42,A_42,995.28035,1017.04645,1027.5815
20240521_1823_WBLMay0KGC4N_B_43,20240521_1823_WBLMay0KGC4N,B,43,B_43,1040.619825,1034.6346,1064.1932
20240521_1823_WBLMay0KGC4N_A_44,20240521_1823_WBLMay0KGC4N,A,44,A_44,1076.4854,1064.2275,1118.3362
20240521_1823_WBLMay0KGC4N_B_45,20240521_1823_WBLMay0KGC4N,B,45,B_45,1111.3593999999998,1125.3333,1158.4913
20240521_1823_WBLMay0KGC4N_A_46,20240521_1823_WBLMay0KGC4N,A,46,A_46,1161.1273,1170.6925,1196.9213
20240521_1823_WBLMay0KGC4N_B_47,20240521_1823_WBLMay0KGC4N,B,47,B_47,1239.94785,1200.5361,1309.2032
20240521_1823_WBLMay0KGC4N_A_48,20240521_1823_WBLMay0KGC4N,A,48,A_48,1260.9075,1313.9452,1321.2789
20240521_1823_WBLMay0KGC4N_B_49,20240521_1823_WBLMay0KGC4N,B,49,B_49,1336.0626000000002,1341.7468,1358.18
20240521_1823_WBLMay0KGC4N_A_50,20240521_1823_WBLMay0KGC4N,A,50,A_50,1356.4013,1359.0663,1371.0558
20240521_1823_WBLMay0KGC4N_B_51,20240521_1823_WBLMay0KGC4N,B,51,B_51,1421.76845,1402.4762,1484.4706
20240521_1823_WBLMay0KGC4N_A_52,20240521_1823_WBLMay0KGC4N,A,52,A_52,1467.30085,1518.3308,1532.1255
20240521_1823_WBLMay0KGC4N_B_53,20240521_1823_WBLMay0KGC4N,B,53,B_53,1555.3282,1536.9915,1592.3256
20240521_1823_WBLMay0KGC4N_A_54,20240521_1823_WBLMay0KGC4N,A,54,A_54,1575.113,1606.2214,1613.2345
20240521_1823_WBLMay0KGC4N_B_55,20240521_1823_WBLMay0KGC4N,B,55,B_55,1658.9596,1636.3783,1711.6978
20240521_1823_WBLMay0KGC4N_A_56,20240521_1823_WBLMay0KGC4N,A,56,A_56,1681.4749000000002,1715.171,1726.5715
20240521_1823_WBLMay0KGC4N_B_57,20240521_1823_WBLMay0KGC4N,B,57,B_57,1753.5455000000002,1755.7513,1791.92
20240521_1823_WBLMay1C89Q6_B_1,20240521_1823_WBLMay1C89Q6,B,1,B_1,879.4915383499999,2.1146193,3.2317767
